주소,입력주소,경도,위도
장위동 231-180,서울시  장위동 231-180,127.03902,37.614179
장위동 233-193,서울시  장위동 233-193,127.045051,37.612885
장위동 230-153,서울시  장위동 230-153,127.040614,37.615255
석관동 332-43,서울시  석관동 332-43,127.059035,37.607853
석관동 260-32,서울시  석관동 260-32,127.05766,37.608193
석관동 332-167,서울시  석관동 332-167,127.060019,37.606996
석관동 334-5,서울시  석관동 334-5,127.057587,37.60949
석관동 189-19,서울시  석관동 189-19,127.060932,37.611868
석관동 332-74,서울시  석관동 332-74,127.058505,37.60765
석관동 92-9,서울시  석관동 92-9,127.067138,37.606511
석관동 335-11,서울시  석관동 335-11,127.056882,37.609701
석관동 332-483,서울시  석관동 332-483,127.059449,37.607315
석관동 217-1,서울시  석관동 217-1,127.060597,37.611523
석관동 332-565,서울시  석관동 332-565,127.060175,37.60724
석관동 332-500,서울시  석관동 332-500,127.059883,37.607067
석관동 332-506,서울시  석관동 332-506,127.059101,37.607069
석관동 122-3,서울시  석관동 122-3,127.064606,37.610609
미아동 3-219,서울시  미아동 3-219,127.032282,37.620179
미아동 791-2003,서울시  미아동 791-2003,127.013306,37.62286
미아동 328-71,서울시  미아동 328-71,127.026734,37.619088
미아동 416-106,서울시  미아동 416-106,127.025643,37.616754
미아동 791-1450,서울시  미아동 791-1450,127.01557,37.625627
미아동 79-47,서울시  미아동 79-47,127.033177,37.613158
미아동 791-1616,서울시  미아동 791-1616,127.01591,37.625558
미아동 136-7,서울시  미아동 136-7,127.031684,37.619958
미아동 1264-177,서울시  미아동 1264-177,127.022974,37.616462
미아동 636-108,서울시  미아동 636-108,127.0239,37.614064
미아동 130-40,서울시  미아동 130-40,127.029552,37.622751
미아동 1264-141,서울시  미아동 1264-141,127.022935,37.616849
미아동 403-147,서울시  미아동 403-147,127.024708,37.617251
미아동 679-17,서울시  미아동 679-17,127.022996,37.618237
미아동 87-140,서울시  미아동 87-140,127.033335,37.61579
미아동 791-1233,서울시  미아동 791-1233,127.015966,37.627369
미아동 308-14,서울시  미아동 308-14,127.022612,37.623334
미아동 90-27,서울시  미아동 90-27,127.030872,37.61623
미아동 8-407,서울시  미아동 8-407,127.037409,37.616094
미아동 791-1510,서울시  미아동 791-1510,127.013211,37.625778
미아동 3-10,서울시  미아동 3-10,127.033654,37.617424
미아동 362,서울시  미아동 362,127.02517,37.619192
미아동 791-1539,서울시  미아동 791-1539,127.01358,37.625331
미아동 773-11,서울시  미아동 773-11,127.020964,37.624627
미아동 791-1610,서울시  미아동 791-1610,127.016074,37.625208
미아동 313-1,서울시  미아동 313-1,127.023012,37.622211
미아동 791-2538,서울시  미아동 791-2538,127.014126,37.625993
미아동 326-4,서울시  미아동 326-4,127.026853,37.61953
미아동 198-17,서울시  미아동 198-17,127.027645,37.627403
미아동 776-19,서울시  미아동 776-19,127.016867,37.624304
미아동 373-50,서울시  미아동 373-50,127.028099,37.617766
미아동 791-2013,서울시  미아동 791-2013,127.013733,37.622287
미아동 77-64,서울시  미아동 77-64,127.034053,37.614625
미아동 452-17,서울시  미아동 452-17,127.027121,37.615442
번동 427-79,서울시  번동 427-79,127.036839,37.635705
번동 148-309,서울시  번동 148-309,127.033992,37.626338
번동 416-82,서울시  번동 416-82,127.02794,37.637812
번동 148-138,서울시  번동 148-138,127.036624,37.626909
번동 148-250,서울시  번동 148-250,127.032794,37.626968
번동 417-102,서울시  번동 417-102,127.029241,37.637949
수유동 46-37,서울시  수유동 46-37,127.02012,37.63536
수유동 130-39,서울시  수유동 130-39,127.019268,37.637272
수유동 486-330,서울시  수유동 486-330,127.014536,37.627546
수유동 533-9,서울시  수유동 533-9,127.00802,37.643855
수유동 508-6,서울시  수유동 508-6,127.012114,37.635906
수유동 349-14,서울시  수유동 349-14,127.014578,37.641558
수유동 492-4,서울시  수유동 492-4,127.011479,37.633387
수유동 455-27,서울시  수유동 455-27,127.01391,37.634641
수유동 472-311,서울시  수유동 472-311,127.017244,37.632696
수유동 425-7,서울시  수유동 425-7,127.013196,37.637212
수유동 402,서울시  수유동 402,127.016628,37.635547
수유동 540-12,서울시  수유동 540-12,127.009299,37.643991
수유동 413-38,서울시  수유동 413-38,127.015066,37.636291
수유동 477-4,서울시  수유동 477-4,127.016494,37.630275
수유동 167-12,서울시  수유동 167-12,127.029167,37.642796
수유동 29-26,서울시  수유동 29-26,127.021431,37.639074
수유동 472-358,서울시  수유동 472-358,127.016879,37.632828
수유동 518-44,서울시  수유동 518-44,127.011665,37.637281
수유동 412-122,서울시  수유동 412-122,127.014944,37.636957
수유동 435-65,서울시  수유동 435-65,127.011811,37.636534
수유동 391-33,서울시  수유동 391-33,127.013713,37.640064
수유동 252-102,서울시  수유동 252-102,127.023112,37.644863
수유동 464-5,서울시  수유동 464-5,127.012804,37.633452
수유동 486-808,서울시  수유동 486-808,127.010829,37.627768
수유동 249-4,서울시  수유동 249-4,127.020845,37.644881
수유동 130-3,서울시  수유동 130-3,127.018567,37.638005
수유동 130-25,서울시  수유동 130-25,127.019578,37.636968
수유동 47-50,서울시  수유동 47-50,127.01974,37.635023
수유동 554-64,서울시  수유동 554-64,127.011463,37.643145
수유동 270-163,서울시  수유동 270-163,127.016729,37.648541
수유동 483-5,서울시  수유동 483-5,127.016314,37.629345
수유동 165-25,서울시  수유동 165-25,127.017679,37.638376
수유동 193-2,서울시  수유동 193-2,127.02428,37.640431
수유동 524-26,서울시  수유동 524-26,127.010542,37.639947
수유동 540-29,서울시  수유동 540-29,127.008889,37.643303
수유동 178-14,서울시  수유동 178-14,127.025339,37.6418
수유동 252-161,서울시  수유동 252-161,127.021256,37.646416
수유동 281-20,서울시  수유동 281-20,127.013174,37.64661
수유동 169-37,서울시  수유동 169-37,127.02757,37.642756
수유동 468-235,서울시  수유동 468-235,127.015185,37.630724
수유동 392-100,서울시  수유동 392-100,127.016254,37.639013
수유동 455-22,서울시  수유동 455-22,127.014259,37.63477
수유동 276-1,서울시  수유동 276-1,127.015353,37.647214
수유동 281-3,서울시  수유동 281-3,127.012506,37.646523
우이동 180-41,서울시  우이동 180-41,127.010258,37.663074
우이동 107-5,서울시  우이동 107-5,127.010958,37.657341
우이동 164-2,서울시  우이동 164-2,127.011328,37.661921
가산동 238-25,서울시  가산동 238-25,126.888671,37.472253
가산동 238-28,서울시  가산동 238-28,126.888342,37.472285
가산동 149-3,서울시  가산동 149-3,126.894389,37.476208
가산동 238-33,서울시  가산동 238-33,126.888027,37.472237
독산동 957-2,서울시  독산동 957-2,126.901535,37.477725
독산동 1014-8,서울시  독산동 1014-8,126.899229,37.468468
독산동 179-23,서울시  독산동 179-23,126.903592,37.471581
독산동 990-8,서울시  독산동 990-8,126.902618,37.473266
독산동 378-450,서울시  독산동 378-450,126.904165,37.463288
독산동 1006-10,서울시  독산동 1006-10,126.892843,37.466083
독산동 1006-158,서울시  독산동 1006-158,126.89372,37.464884
독산동 1067-12,서울시  독산동 1067-12,126.89998,37.460374
독산동 976-14,서울시  독산동 976-14,126.904977,37.474288
독산동 378-487,서울시  독산동 378-487,126.904958,37.463232
독산동 1006-201,서울시  독산동 1006-201,126.893292,37.46479
독산동 197-32,서울시  독산동 197-32,126.901808,37.469925
독산동 977-17,서울시  독산동 977-17,126.903983,37.474216
독산동 921-6,서울시  독산동 921-6,126.905661,37.468501
독산동 234-33,서울시  독산동 234-33,126.904732,37.475619
독산동 164-19,서울시  독산동 164-19,126.901846,37.471907
독산동 1070-21,서울시  독산동 1070-21,126.901618,37.461273
독산동 894-12,서울시  독산동 894-12,126.908811,37.477297
독산동 929,서울시  독산동 929,126.904686,37.46714
독산동 297-19,서울시  독산동 297-19,126.894271,37.473485
독산동 285-3,서울시  독산동 285-3,126.899854,37.469762
독산동 161-18,서울시  독산동 161-18,126.899605,37.47213
독산동 898-7,서울시  독산동 898-7,126.906856,37.479594
독산동 986-24,서울시  독산동 986-24,126.902018,37.473332
독산동 1006-29,서울시  독산동 1006-29,126.894356,37.466197
독산동 378-171,서울시  독산동 378-171,126.90569,37.464951
독산동 162-9,서울시  독산동 162-9,126.900335,37.471668
독산동 1014-13,서울시  독산동 1014-13,126.899226,37.468648
독산동 195-4,서울시  독산동 195-4,126.902233,37.469451
독산동 1052-1,서울시  독산동 1052-1,126.89914,37.464529
독산동 899-13,서울시  독산동 899-13,126.906389,37.479779
독산동 1064-4,서울시  독산동 1064-4,126.90057,37.462578
독산동 285-31,서울시  독산동 285-31,126.899492,37.469786
독산동 145-2,서울시  독산동 145-2,126.898268,37.476911
독산동 378-334,서울시  독산동 378-334,126.905488,37.464039
독산동 893-16,서울시  독산동 893-16,126.90809,37.47638
시흥동 799-20,서울시  시흥동 799-20,126.907484,37.461282
시흥동 819-18,서울시  시흥동 819-18,126.90608,37.456007
시흥동 203-4,서울시  시흥동 203-4,126.911073,37.45308
시흥동 950-12,서울시  시흥동 950-12,126.905186,37.440591
시흥동 978-7,서울시  시흥동 978-7,126.904962,37.434218
시흥동 902-18,서울시  시흥동 902-18,126.903571,37.450613
시흥동 220-1,서울시  시흥동 220-1,126.912434,37.452741
시흥동 919-67,서울시  시흥동 919-67,126.907557,37.449263
시흥동 883-11,서울시  시흥동 883-11,126.901364,37.453909
시흥동 820-31,서울시  시흥동 820-31,126.906697,37.454021
시흥동 849,서울시  시흥동 849,126.903543,37.457128
시흥동 939-5,서울시  시흥동 939-5,126.904574,37.44455
시흥동 823-63,서울시  시흥동 823-63,126.908544,37.453687
시흥동 872,서울시  시흥동 872,126.902156,37.45771
시흥동 911-16,서울시  시흥동 911-16,126.908921,37.450294
시흥동 873-15,서울시  시흥동 873-15,126.902166,37.457043
시흥동 1-36,서울시  시흥동 1-36,126.910828,37.462944
시흥동 851-37,서울시  시흥동 851-37,126.90375,37.457661
시흥동 837-5,서울시  시흥동 837-5,126.906772,37.453499
시흥동 814-52,서울시  시흥동 814-52,126.906255,37.457207
시흥동 818-24,서울시  시흥동 818-24,126.907875,37.455375
시흥동 204-4,서울시  시흥동 204-4,126.910844,37.453321
시흥동 878-8,서울시  시흥동 878-8,126.903714,37.45548
시흥동 3-95,서울시  시흥동 3-95,126.911172,37.461055
시흥동 947-11,서울시  시흥동 947-11,126.907568,37.441541
시흥동 825-15,서울시  시흥동 825-15,126.909673,37.452977
시흥동 985-32,서울시  시흥동 985-32,126.902678,37.446722
시흥동 836-36,서울시  시흥동 836-36,126.907843,37.452149
시흥동 822-45,서울시  시흥동 822-45,126.907569,37.45466
시흥동 992-4,서울시  시흥동 992-4,126.899609,37.453307
방배동 815-12,서울시  방배동 815-12,126.9898,37.491299
방배동 900-11,서울시  방배동 900-11,126.996369,37.486291
방배동 978-22,서울시  방배동 978-22,126.992558,37.481302
방배동 931-4,서울시  방배동 931-4,126.99116,37.48521
방배동 987-13,서울시  방배동 987-13,127.000611,37.480199
방배동 878-25,서울시  방배동 878-25,126.995182,37.489668
방배동 921-8,서울시  방배동 921-8,126.993583,37.483266
방배동 782-6,서울시  방배동 782-6,126.983489,37.493848
방배동 830-1,서울시  방배동 830-1,126.987149,37.489149
방배동 862-1,서울시  방배동 862-1,126.986187,37.487501
방배동 456-10,서울시  방배동 456-10,126.983898,37.48121
방배동 453-10,서울시  방배동 453-10,126.983028,37.480311
방배동 890-1,서울시  방배동 890-1,126.996709,37.487077
방배동 762-9,서울시  방배동 762-9,126.984585,37.49557
방배동 932-19,서울시  방배동 932-19,126.991809,37.484855
방배동 903-1,서울시  방배동 903-1,126.996553,37.48604
방배동 826-2,서울시  방배동 826-2,126.985872,37.489922
방배동 803-2,서울시  방배동 803-2,126.994472,37.493699
방배동 322-4,서울시  방배동 322-4,126.992746,37.48498
방배동 877-28,서울시  방배동 877-28,126.994689,37.489304
방배동 928-22,서울시  방배동 928-22,126.993059,37.484361
방배동 324-10,서울시  방배동 324-10,126.99207,37.484785
방배동 822-19,서울시  방배동 822-19,126.986106,37.49015
방배동 435-36,서울시  방배동 435-36,126.984976,37.481724
방배동 790-8,서울시  방배동 790-8,126.986335,37.491638
방배동 465-1,서울시  방배동 465-1,126.984142,37.479852
방배동 750-10,서울시  방배동 750-10,126.986079,37.498061
방배동 929-9,서울시  방배동 929-9,126.992609,37.483357
방배동 920-15,서울시  방배동 920-15,126.993206,37.482696
방배동 921-19,서울시  방배동 921-19,126.99377,37.482763
방배동 789-5,서울시  방배동 789-5,126.985336,37.491954
방배동 457-15,서울시  방배동 457-15,126.984392,37.481449
방배동 892-2,서울시  방배동 892-2,126.997162,37.48791
방배동 456-13,서울시  방배동 456-13,126.983799,37.480966
방배동 467-24,서울시  방배동 467-24,126.985082,37.478905
방배동 977-2,서울시  방배동 977-2,126.991536,37.482429
방배동 332-7,서울시  방배동 332-7,126.991686,37.486395
방배동 893-14,서울시  방배동 893-14,126.997348,37.488344
방배동 855-17,서울시  방배동 855-17,126.990084,37.488706
방배동 939-17,서울시  방배동 939-17,126.991635,37.486043
방배동 593-11,서울시  방배동 593-11,126.994165,37.47609
방배동 876-2,서울시  방배동 876-2,126.993866,37.48909
방배동 869-7,서울시  방배동 869-7,126.989528,37.487151
방배동 455-13,서울시  방배동 455-13,126.983099,37.480915
방배동 890-3,서울시  방배동 890-3,126.997047,37.487161
방배동 914-20,서울시  방배동 914-20,126.994721,37.481825
방배동 855-16,서울시  방배동 855-16,126.990153,37.488598
방배동 527-9,서울시  방배동 527-9,126.98794,37.478253
방배동 928-25,서울시  방배동 928-25,126.993289,37.484057
방배동 870-20,서울시  방배동 870-20,126.989999,37.487462
방배동 893-5,서울시  방배동 893-5,126.997923,37.48843
방배동 465-2,서울시  방배동 465-2,126.98411,37.479779
방배동 751-4,서울시  방배동 751-4,126.985416,37.497712
방배동 435-27,서울시  방배동 435-27,126.984862,37.481849
방배동 480-20,서울시  방배동 480-20,126.988849,37.476288
방배동 980-1,서울시  방배동 980-1,126.991103,37.480993
방배동 877-20,서울시  방배동 877-20,126.995294,37.488868
방배동 938-14,서울시  방배동 938-14,126.992338,37.48668
방배동 456-9,서울시  방배동 456-9,126.983886,37.481273
방배동 839-20,서울시  방배동 839-20,126.993447,37.490834
방배동 436-11,서울시  방배동 436-11,126.984337,37.482196
방배동 765-3,서울시  방배동 765-3,126.983676,37.495103
방배동 460-6,서울시  방배동 460-6,126.986514,37.48089
방배동 856-25,서울시  방배동 856-25,126.989656,37.488531
방배동 457-3,서울시  방배동 457-3,126.984606,37.481559
방배동 769-21,서울시  방배동 769-21,126.986559,37.494334
방배동 890-13,서울시  방배동 890-13,126.997219,37.486974
방배동 436-7,서울시  방배동 436-7,126.984334,37.482403
방배동 12-2,서울시  방배동 12-2,126.990484,37.495909
방배동 462-8,서울시  방배동 462-8,126.985565,37.47999
방배동 593-1,서울시  방배동 593-1,126.993557,37.476743
방배동 467-25,서울시  방배동 467-25,126.985159,37.479095
방배동 914-18,서울시  방배동 914-18,126.994617,37.48205
양재동 6-2,서울시  양재동 6-2,127.041028,37.482328
양재동 106-6,서울시  양재동 106-6,127.034968,37.475223
양재동 388-2,서울시  양재동 388-2,127.047643,37.470694
양재동 359-11,서울시  양재동 359-11,127.044643,37.468309
양재동 6-27,서울시  양재동 6-27,127.04142,37.481682
양재동 379-4,서울시  양재동 379-4,127.046315,37.471125
양재동 9-31,서울시  양재동 9-31,127.039321,37.483161
양재동 394-9,서울시  양재동 394-9,127.048898,37.472462
양재동 267-6,서울시  양재동 267-6,127.04345,37.475905
양재동 242-11,서울시  양재동 242-11,127.039435,37.472448
양재동 384-6,서울시  양재동 384-6,127.047184,37.469438
양재동 299-4,서울시  양재동 299-4,127.046446,37.473217
양재동 266-10,서울시  양재동 266-10,127.04334,37.474786
양재동 401-7,서울시  양재동 401-7,127.049928,37.471488
양재동 289-2,서울시  양재동 289-2,127.047754,37.473498
양재동 9-45,서울시  양재동 9-45,127.03955,37.482955
양재동 85-4,서울시  양재동 85-4,127.042962,37.480514
양재동 10-28,서울시  양재동 10-28,127.03744,37.482596
양재동 336-4,서울시  양재동 336-4,127.043189,37.46973
양재동 348-6,서울시  양재동 348-6,127.042594,37.467644
양재동 7-52,서울시  양재동 7-52,127.040969,37.48339
양재동 19-18,서울시  양재동 19-18,127.040944,37.480876
양재동 15-13,서울시  양재동 15-13,127.038225,37.481323
양재동 17-39,서울시  양재동 17-39,127.039621,37.481821
양재동 361-8,서울시  양재동 361-8,127.045453,37.468649
양재동 124-9,서울시  양재동 124-9,127.037679,37.476317
양재동 318-168,서울시  양재동 318-168,127.04041,37.470483
양재동 335-1,서울시  양재동 335-1,127.043298,37.470092
양재동 385-3,서울시  양재동 385-3,127.047601,37.469505
우면동 8,서울시  우면동 8,127.026909,37.468976
잠원동 44-16,서울시  잠원동 44-16,127.01694,37.511134
잠원동 43-6,서울시  잠원동 43-6,127.017806,37.511448
잠원동 44-3,서울시  잠원동 44-3,127.016823,37.511422
잠원동 31-2,서울시  잠원동 31-2,127.016198,37.513336
잠원동 10-17,서울시  잠원동 10-17,127.017453,37.516806
반포동 577-68,서울시  반포동 577-68,126.999692,37.494023
반포동 715-16,서울시  반포동 715-16,127.018364,37.506839
반포동 701-44,서울시  반포동 701-44,127.017627,37.508698
반포동 743-11,서울시  반포동 743-11,127.019624,37.504786
반포동 577-42,서울시  반포동 577-42,127.001131,37.493846
반포동 701-34,서울시  반포동 701-34,127.017459,37.508598
반포동 735-6,서울시  반포동 735-6,127.021927,37.506851
반포동 715-32,서울시  반포동 715-32,127.019018,37.507016
반포동 612-130,서울시  반포동 612-130,126.99221,37.497113
반포동 551-58,서울시  반포동 551-58,127.000727,37.49696
서초동 1507-30,서울시  서초동 1507-30,127.032743,37.483783
서초동 1565-12,서울시  서초동 1565-12,126.878433,37.509747
서초동 1494-1,서울시  서초동 1494-1,126.887781,37.495653
서초동 1478-3,서울시  서초동 1478-3,126.887479,37.481738
서초동 1359-5,서울시  서초동 1359-5,126.888764,37.48048
서초동 1630-3,서울시  서초동 1630-3,126.884539,37.485549
서초동 1487-102,서울시  서초동 1487-102,126.892012,37.48024
서초동 1565-1,서울시  서초동 1565-1,126.866117,37.505133
서초동 1507-40,서울시  서초동 1507-40,126.847986,37.504453
서초동 1641-12,서울시  서초동 1641-12,126.859415,37.503339
서초동 1507-50,서울시  서초동 1507-50,126.858082,37.502497
서초동 1487-34,서울시  서초동 1487-34,126.86475,37.504327
서초동 1508-43,서울시  서초동 1508-43,126.848503,37.50763
신도림동 292-215,서울시  신도림동 292-215,126.851258,37.503512
구로동 781-10,서울시  구로동 781-10,126.852072,37.488761
구로동 752-20,서울시  구로동 752-20,126.85533,37.501993
구로동 791-8,서울시  구로동 791-8,126.858528,37.488076
구로동 317-31,서울시  구로동 317-31,126.852308,37.491791
구로동 752-8,서울시  구로동 752-8,126.853974,37.490816
구로동 791-57,서울시  구로동 791-57,126.844102,37.50037
구로동 448-51,서울시  구로동 448-51,126.852061,37.490221
구로동 409-72,서울시  구로동 409-72,126.85028,37.494294
구로동 339-63,서울시  구로동 339-63,126.843277,37.503299
구로동 720-47,서울시  구로동 720-47,126.852076,37.493699
구로동 252-7,서울시  구로동 252-7,126.85135,37.494557
구로동 706-58,서울시  구로동 706-58,126.851808,37.492714
구로동 796-8,서울시  구로동 796-8,126.852612,37.488226
구로동 85-18,서울시  구로동 85-18,126.853144,37.492619
구로동 740-46,서울시  구로동 740-46,126.853892,37.492473
구로동 738-5,서울시  구로동 738-5,126.843166,37.502406
구로동 792-95,서울시  구로동 792-95,126.841414,37.500902
구로동 1132-64,서울시  구로동 1132-64,126.845974,37.505857
구로동 155-19,서울시  구로동 155-19,126.851168,37.49169
구로동 791-49,서울시  구로동 791-49,126.855238,37.493207
구로동 1132-49,서울시  구로동 1132-49,126.852467,37.491008
구로동 429-261,서울시  구로동 429-261,126.840948,37.502519
구로동 742-16,서울시  구로동 742-16,126.854079,37.500269
구로동 791-37,서울시  구로동 791-37,126.844998,37.5061
구로동 536-56,서울시  구로동 536-56,126.842557,37.502328
구로동 111-35,서울시  구로동 111-35,126.8539,37.492725
구로동 685-468,서울시  구로동 685-468,126.85554,37.489768
구로동 571-69,서울시  구로동 571-69,126.852279,37.492998
구로동 171-2,서울시  구로동 171-2,126.845059,37.503614
구로동 752-3,서울시  구로동 752-3,126.853364,37.492243
구로동 429-214,서울시  구로동 429-214,126.851824,37.4902
구로동 487-9,서울시  구로동 487-9,126.844886,37.501603
구로동 742-12,서울시  구로동 742-12,126.851579,37.492153
가리봉동 124-53,서울시  가리봉동 124-53,126.854846,37.488527
가리봉동 125-10,서울시  가리봉동 125-10,126.851462,37.490945
가리봉동 772-6,서울시  가리봉동 772-6,126.852996,37.491185
가리봉동 134-94,서울시  가리봉동 134-94,126.860597,37.495538
고척동 49-17,서울시  고척동 49-17,126.853281,37.488079
고척동 249-47,서울시  고척동 249-47,126.853721,37.492588
고척동 142-56,서울시  고척동 142-56,126.84932,37.500123
고척동 145-117,서울시  고척동 145-117,126.845856,37.499585
고척동 57-47,서울시  고척동 57-47,126.855177,37.500171
고척동 241-212,서울시  고척동 241-212,126.851238,37.490807
고척동 264-8,서울시  고척동 264-8,126.841615,37.503995
개봉동 271-32,서울시  개봉동 271-32,126.84203,37.503458
개봉동 449-4,서울시  개봉동 449-4,126.85162,37.49173
개봉동 279-4,서울시  개봉동 279-4,126.852938,37.485409
개봉동 322-14,서울시  개봉동 322-14,126.857302,37.490596
개봉동 331-38,서울시  개봉동 331-38,126.852159,37.49415
개봉동 60-19,서울시  개봉동 60-19,126.854673,37.490264
개봉동 338-7,서울시  개봉동 338-7,126.854791,37.49286
개봉동 309-23,서울시  개봉동 309-23,126.85836,37.496102
개봉동 33-85,서울시  개봉동 33-85,126.854751,37.492544
개봉동 305-9,서울시  개봉동 305-9,126.853947,37.492591
개봉동 307-43,서울시  개봉동 307-43,126.844689,37.503394
개봉동 319-6,서울시  개봉동 319-6,126.84289,37.490257
개봉동 341-7,서울시  개봉동 341-7,126.838227,37.496348
개봉동 323-23,서울시  개봉동 323-23,126.835727,37.486925
개봉동 325-15,서울시  개봉동 325-15,126.839996,37.498257
개봉동 38-73,서울시  개봉동 38-73,126.847657,37.494268
개봉동 50-36,서울시  개봉동 50-36,126.843156,37.499387
개봉동 109-21,서울시  개봉동 109-21,126.836854,37.497388
개봉동 334-13,서울시  개봉동 334-13,126.834879,37.488367
개봉동 304-1,서울시  개봉동 304-1,126.833068,37.487782
개봉동 339-2,서울시  개봉동 339-2,126.839895,37.498202
개봉동 46-15,서울시  개봉동 46-15,126.844191,37.498289
개봉동 458-7,서울시  개봉동 458-7,126.837108,37.489768
개봉동 105-12,서울시  개봉동 105-12,126.838261,37.488293
개봉동 40-1,서울시  개봉동 40-1,126.838941,37.488227
개봉동 325-13,서울시  개봉동 325-13,126.840592,37.497713
개봉동 347-3,서울시  개봉동 347-3,126.835643,37.497412
개봉동 320-3,서울시  개봉동 320-3,126.832567,37.487299
개봉동 5-5,서울시  개봉동 5-5,126.840119,37.498321
개봉동 323-7,서울시  개봉동 323-7,126.837476,37.495953
개봉동 338-13,서울시  개봉동 338-13,126.837567,37.490079
개봉동 61-3,서울시  개봉동 61-3,126.84103,37.490572
개봉동 319-22,서울시  개봉동 319-22,126.832524,37.489335
개봉동 345-10,서울시  개봉동 345-10,126.823708,37.496979
개봉동 337-2,서울시  개봉동 337-2,126.830717,37.498589
개봉동 340-1,서울시  개봉동 340-1,126.831691,37.495625
개봉동 179-22,서울시  개봉동 179-22,126.829651,37.495885
개봉동 342-13,서울시  개봉동 342-13,126.831662,37.493805
개봉동 325-7,서울시  개봉동 325-7,126.83109,37.498611
개봉동 132-65,서울시  개봉동 132-65,126.837114,37.493724
개봉동 68-150,서울시  개봉동 68-150,126.828839,37.49648
개봉동 153-14,서울시  개봉동 153-14,126.833086,37.495324
개봉동 337-15,서울시  개봉동 337-15,126.820915,37.492626
개봉동 23-24,서울시  개봉동 23-24,126.817964,37.496912
개봉동 23-30,서울시  개봉동 23-30,126.823055,37.493224
개봉동 322-10,서울시  개봉동 322-10,126.870052,37.553223
개봉동 363-12,서울시  개봉동 363-12,126.868935,37.549996
개봉동 260-10,서울시  개봉동 260-10,126.875057,37.550811
개봉동 306-53,서울시  개봉동 306-53,126.875391,37.550391
개봉동 330-10,서울시  개봉동 330-10,126.869423,37.551415
개봉동 327-37,서울시  개봉동 327-37,126.861053,37.551848
개봉동 170-35,서울시  개봉동 170-35,126.858414,37.556445
개봉동 327-10,서울시  개봉동 327-10,126.859789,37.555305
개봉동 325-4,서울시  개봉동 325-4,126.857201,37.555064
개봉동 7-26,서울시  개봉동 7-26,126.853933,37.557095
오류동 156-30,서울시  오류동 156-30,126.862323,37.536065
오류동 6-243,서울시  오류동 6-243,126.862465,37.537121
