건물명,주소,층,거래일,거래금액,면적,평,건축년도,위도,경도,평당보증금,평당월세,평당보증금평균,평당월세평균
극동, 도봉동 81-1,6층,2020 12 30,"    40,000/         0",84.83,25.7,1991,37.6824597131159,127.049616931552,1556.4202334630352,0.0,944.6606139213143,0.34587116299178555
도봉파크빌3, 도봉동 644,4층,2020 12 26,"    41,000/         0",84.155,25.5,2002,37.6875608651142,127.048735811854,1607.8431372549019,0.0,1238.4313725490197,0.3921568627450981
도봉파크빌2, 도봉동 647,7층,2020 10 24,"    31,500/         0",84.354,25.5,2002,37.6843820570551,127.050708654261,1235.2941176470588,0.0,1211.764705882353,0.0
신정6현대, 신정동 743-2,20층,2020 12 19,"    36,200/         0",84.6,25.6,2000,37.508117793056705,126.841577964081,1414.0625,0.0,1341.5760723960109,0.27081787989474554
동일하이빌1단지, 신정동 1310,5층,2020 12 7,"    50,000/         0",84.955,25.7,2005,37.51187367101821,126.839116976868,1945.5252918287938,0.0,1598.649753132266,0.0
정은스카이빌2차, 신정동 1304,8층,2020 9 14,"    36,000/         0",84.98,25.7,2004,37.522094967609,126.84898805212299,1400.7782101167315,0.0,1397.6341982501021,0.0
재훈, 신정동 884-6,6층,2020 2 16,"     7,000/         0",80.05,24.2,2002,37.5276349324631,126.85952626709101,289.25619834710744,0.0,367.84238488783944,0.0
목동신시가지10, 신정동 311,13층,2020 12 30,"    46,000/         0",70.2,21.2,1987,37.517050483381,126.859060319937,2169.811320754717,0.0,1834.687899525606,0.718119141902878
목동신시가지11, 신정동 325,8층,2020 12 31,"    34,600/         0",66.24,20.0,1988,37.512032209935796,126.858480977724,1730.0,0.0,1524.5730812956172,0.7143359093325953
목동2삼성래미안, 신정동 1295,14층,2020 12 4,"    37,700/         0",59.92,18.1,2001,37.5104536393722,126.868136822599,2082.8729281767955,0.0,1940.4098465445884,0.3161268895794966
목동신시가지14, 신정동 329,3층,2020 12 29,"    42,000/         0",71.37,21.6,1988,37.5163001399748,126.870756995863,1944.4444444444443,0.0,1956.636716855988,0.5719291411282222
신트리1, 신정동 1259,9층,2020 12 26,"    40,000/         0",49.8,15.1,1999,37.5139856517578,126.853677264702,2649.0066225165565,0.0,1569.6125029037655,0.3809648296240207
목동신시가지12, 신정동 326,8층,2020 12 31,"    45,000/         0",71.64,21.7,1988,37.512967914125205,126.861159288512,2073.7327188940094,0.0,1672.8012783307543,0.7144075004365689
대림e-편한세상, 신정동 1303,11층,2020 12 6,"    42,000/         0",84.985,25.7,2004,37.5124312991708,126.843231946884,1634.2412451361868,0.0,1547.089469298826,0.12075674225144237
동일하이빌2단지, 신정동 1311,18층,2020 12 20,"    47,000/         0",84.955,25.7,2005,37.510847641073,126.840003707281,1828.7937743190662,0.0,1650.1702183147443,0.05921163931652851
목동우성2, 신정동 337,6층,2020 12 31,"    66,000/         0",113.91,34.5,2000,37.5077984500361,126.866527687999,1913.0434782608695,0.0,1541.8080644790728,0.09345413760910291
목동신시가지9, 신정동 312,11층,2020 12 28,"    75,000/         0",71.37,21.6,1987,37.5185316226736,126.862641355469,3472.222222222222,0.0,1999.3704434425263,0.6113872465093814
목동신시가지13, 신정동 327,8층,2020 12 31,"    46,000/         0",70.73,21.4,1987,37.5141797472626,126.865023924094,2149.532710280374,0.0,1919.5580305471535,0.5327220432145554
목동현대3차, 신정동 1279,2층,2020 12 18,"    61,900/         0",101.91,30.8,1997,37.520339296259706,126.87719728678499,2009.7402597402597,0.0,2136.7945621970634,0.4488105395047681
청구, 신정동 336,7층,2020 12 8,"    60,000/         0",84.99,25.7,1992,37.5190895239208,126.875587070559,2334.6303501945526,0.0,1807.4856401704653,0.365017602371688
아이파크, 신정동 1296,4층,2020 12 24,"    50,000/       100",84.88,25.7,2002,37.521901964177204,126.87200933781901,1945.5252918287938,3.8910505836575875,2685.1521691752473,0.8942701906312033
정은스카이빌3차, 신정동 1192-1,9층,2020 12 22,"    10,000/       100",84.88,25.7,2004,37.5221200355739,126.84988367064899,389.1050583657588,3.8910505836575875,1329.4422827496758,0.648508430609598
목동신시가지8, 신정동 314,9층,2020 12 29,"    73,500/         0",105.35,31.9,1987,37.52133384683739,126.867537595782,2304.075235109718,0.0,1935.9718745484658,0.7178372583824041
현대, 신정동 1252,4층,2020 12 9,"    26,000/        42",84.84,25.7,1995,37.51712305278,126.87446086678001,1011.6731517509728,1.6342412451361867,1821.0116731517512,0.4027237354085603
신트리3, 신정동 1276,8층,2020 12 22,"    46,000/         0",84.25,25.5,2000,37.5119090790087,126.852949421168,1803.921568627451,0.0,1613.7056914862908,0.47447309978781715
목동삼성, 신정동 1278,2층,2020 12 29,"    55,500/        86",114.93,34.8,1996,37.515718118319604,126.876226383469,1594.8275862068967,2.4712643678160924,1799.2297254150706,1.2001616379310347
수정, 신정동 733-31,3층,2020 11 12,"     3,000/        50",51.3,15.5,1987,37.512340381623105,126.84204241758002,193.5483870967742,3.225806451612903,729.2536677658469,0.8668919998742252
목동힐스테이트, 신정동 1323,9층,2020 12 23,"    76,650/         0",84.98,25.7,2016,37.5203056993248,126.85644034866999,2982.490272373541,0.0,2319.624190700356,1.026065271465158
쌍용, 신정동 334,10층,2020 11 27,"    20,000/         0",84.63,25.6,1992,37.5171447004509,126.87561209480499,781.25,0.0,1612.6619664634147,0.5525914634146342
프리우스, 신정동 86-6,3층,2020 10 20,"    20,000/       150",77.84,23.5,2006,37.5224801764121,126.873603531003,851.063829787234,6.382978723404255,933.4054573867052,3.96381776655848
대성유니드1차, 신정동 1198-23,5층,2020 12 14,"    20,000/         0",70.63,21.4,2004,37.520405809015706,126.84908575603399,934.5794392523366,0.0,1273.9965384252398,0.0
블레스빌, 신정동 340,3층,2020 12 22,"    47,000/         0",84.8,25.7,2002,37.5215059978956,126.874638362861,1828.7937743190662,0.0,2014.5147181844748,0.44267374944665777
신트리4, 신정동 1277,8층,2020 12 23,"     3,600/         0",49.8,15.1,2000,37.5113046771455,126.850770700688,238.41059602649008,0.0,1485.8203787198613,0.26697208238076786
럭키, 신정동 958-10,2층,2020 8 1,"    27,000/         0",84.98,25.7,2007,37.523251398454704,126.85790950558099,1050.5836575875487,0.0,993.5149156939041,0.0
대성유니드2차, 신정동 1198-3,14층,2020 12 3,"    15,000/         0",84.67,25.6,2004,37.521055318910896,126.84886814166201,585.9375,0.0,1367.1405932884202,0.0
유원목동, 신정동 87-39,4층,2020 12 8,"    55,000/        25",84.96,25.7,1990,37.5220377039876,126.873399130087,2140.077821011673,0.9727626459143969,2020.4872446623538,0.3204394598306249
이펜하우스3단지, 신정동 1316,8층,2020 12 30,"     6,338/        25",59.88,18.1,2011,37.5125484999314,126.830381682783,350.16574585635357,1.3812154696132595,887.3789576189022,0.5657231651861658
삼성쉐르빌, 신정동 318-10,4층,2020 12 15,"    96,000/         0",165.14,50.0,2003,37.522654109411505,126.87046324416,1920.0,0.0,1796.240267916776,0.4462433311898711
마이홈, 신정동 1194-5,12층,2020 12 17,"    30,000/         0",114.99,34.8,1995,37.5220729720502,126.848166785224,862.0689655172414,0.0,1193.8478994852492,0.8025682182985553
세양청마루2차주상복합, 신정동 201-1,6층,2020 10 20,"    45,000/         0",84.42,25.5,2008,37.5082252550861,126.86456865334999,1764.7058823529412,0.0,1333.3333333333335,0.6535947712418301
푸른마을3, 신정동 1283,14층,2020 12 22,"    35,000/         0",59.99,18.1,2001,37.511440679691795,126.836852680861,1933.7016574585634,0.0,1323.758977179599,0.6607497809612746
신일해피트리, 신정동 1219-1,9층,2020 9 14,"    35,000/         0",84.98,25.7,2004,37.5174743452098,126.848746124722,1361.8677042801557,0.0,1268.971176720084,0.0
학마을1단지, 신정동 1293,14층,2020 12 27,"    25,000/         0",49.98,15.1,2000,37.5080198755847,126.84442022036,1655.6291390728477,0.0,1324.7286807825574,0.4333400541976729
세양청마루, 신정동 1306,2층,2020 12 18,"    50,000/         0",59.98,18.1,2006,37.5071810339903,126.86370621526001,2762.430939226519,0.0,1764.416772362792,0.37397411368217737
목동무지개, 신정동 881-8,6층,2020 1 13,"    13,000/         0",81.42,24.6,2002,37.528665771883,126.85934956612302,528.4552845528455,0.0,528.4552845528455,0.0
이펜하우스4단지, 신정동 1317,9층,2020 12 29,"     5,000/       120",59.93,18.1,2011,37.51091164758729,126.830025537703,276.2430939226519,6.6298342541436455,1049.2656106280967,0.7642717019962425
이펜하우스2단지, 신정동 1322,4층,2020 12 22,"     9,258/        14",59.88,18.1,2011,37.51614156556221,126.830367241419,511.4917127071823,0.7734806629834253,1000.1949938989185,0.6271624861689202
신정숲속마을, 신정동 1324,17층,2020 12 10,"     4,928/         9",39.99,12.1,2016,37.5056282959492,126.834593235883,407.2727272727273,0.7438016528925621,697.7541046243064,0.38042765315492616
목동파크자이(101동~108동), 신정동 1325,9층,2020 12 29,"    92,000/         0",84.977,25.7,2019,35.479621351424704,126.848987929875,3579.766536964981,0.0,2627.6035706111243,1.121538109407187
목동삼성쉐르빌Ⅱ, 신정동 318-12,14층,2020 9 5,"   125,000/         0",176.77,53.5,2004,37.521625151427,126.870445533551,2336.448598130841,0.0,2113.520231568675,0.4428237453924817
밀레스트, 신정동 891-1,1층,2020 11 6,"    29,000/         0",75.5647,22.9,2002,37.5281805746367,126.86028122199801,1266.3755458515284,0.0,1416.3737707246066,0.0
예지보금자리(102동), 신정동 927-4,4층,2020 1 14,"    28,000/         0",84.94,25.7,2004,37.5270124005467,126.85340802185101,1089.4941634241245,0.0,1089.4941634241245,0.0
신정현대5, 신정동 1273,2층,2020 12 29,"    60,000/         0",114.24,34.6,1999,37.5122691675563,126.854569887905,1734.1040462427745,0.0,1604.2805416483031,0.4154016075981394
굿모닝탑, 신정동 324-10,4층,2020 5 29,"    68,000/         0",146.12,44.2,2003,37.5150753323735,126.86073912038601,1538.4615384615383,0.0,1786.36139021578,0.0
양천, 신정동 276,14층,2020 12 21,"     2,283/         5",39.36,11.9,1995,37.5108719572218,126.863867632351,191.84873949579833,0.42016806722689076,188.34889511360103,0.41549953314659194
푸른마을1단지, 신정동 1282,8층,2020 12 23,"     1,258/        19",39.08,11.8,2001,37.5126709900442,126.83622782902201,106.61016949152541,1.6101694915254237,187.92898987600952,1.1692355818450688
푸른마을2, 신정동 1281,6층,2020 12 26,"    30,000/         0",59.85,18.1,2001,37.513550380820604,126.835571180234,1657.4585635359115,0.0,1414.1765942907998,0.4945360546235625
이펜하우스5단지, 신정동 1318,5층,2020 12 30,"    15,904/         0",59.88,18.1,2011,37.51071743773829,126.83333232025801,878.6740331491712,0.0,1008.82243872643,0.26117528879959817
대림아크로빌, 신정동 324-7,7층,2020 12 31,"    66,000/        35",165.27,50.0,2003,37.5154256458848,126.85960298321699,1320.0,0.7,1612.8963902482328,0.5998944705216551
경동미르웰, 신정동 972-2,7층,2020 12 11,       500/        60,14.02,4.2,2017,37.5218161993929,126.85248668190701,119.04761904761904,14.285714285714285,600.9070294784581,11.417233560090702
목동현대, 신정동 1279-1,2층,2020 7 24,       954/        11,32.76,9.9,1997,37.518109610286004,126.876659752496,96.36363636363636,1.1111111111111112,117.72366522366526,0.9704184704184703
푸른마을4, 신정동 1285,10층,2020 12 29,"    46,700/         0",84.81,25.7,2002,37.5133497840024,126.838865597634,1817.1206225680935,0.0,1438.0674448767836,0.2594033722438392
목동우성3, 신정동 338,6층,2020 12 16,"    42,000/         0",114.89,34.8,1999,37.508336185691,126.86554100801901,1206.8965517241381,0.0,1519.0609223185368,0.0
목동2차우성, 신정동 337-2,5층,2020 12 22,"     2,301/         0",32.76,9.9,2000,37.506428701621296,126.86518535615801,232.4242424242424,0.0,131.94682675814724,0.9367257480465041
대림, 신정동 333,8층,2020 10 23,"    55,000/         0",84.89,25.7,1992,37.517708741449795,126.87359468259599,2140.077821011673,0.0,1919.5727950713358,0.24643320363164722
일진아이윌, 신정동 1218-1,8층,2020 12 17,"    22,000/        20",84.98200000000001,25.7,2003,37.5183176538282,126.848788297294,856.0311284046693,0.7782101167315175,904.6692607003891,0.5836575875486382
중앙하이츠, 신정동 1314,15층,2020 12 3,"    57,000/         0",104.62,31.6,2010,37.5057614291832,126.86363151196699,1803.7974683544303,0.0,1518.5405975274614,0.36963784908121383
보람쉬움, 신정동 921-11,3층,2020 2 28,"    34,200/         0",79.5708,24.1,2003,37.52557145967,126.855486615427,1419.0871369294605,0.0,1474.9659225085882,0.0
